id,name,code,created_at,updated_at
1,20GENR,20GENR,2021-10-14 02:14:33.338082,2021-10-14 02:14:33.338082
2,18GENR,18GENR,2021-10-14 02:14:52.983445,2021-10-14 02:14:52.983445
3,16GENR,16GENR,2021-10-14 02:15:20.114279,2021-10-14 02:15:20.114279
4,14GENR,14GENR,2021-10-14 02:15:35.099815,2021-10-14 02:15:35.099815
5,20MSB,20MSB,2021-10-14 02:15:54.866605,2021-10-14 02:15:54.866605
6,18PRIM,18PRIM,2021-10-14 02:16:09.013636,2021-10-14 02:16:09.013636
7,16PRIM,16PRIM,2021-10-14 03:22:47.185448,2021-10-14 03:22:47.185448
8,12GENR,12GENR,2021-10-14 03:22:47.231979,2021-10-14 03:22:47.231979
9,20PRIM,20PRIM,2021-10-14 03:22:47.304914,2021-10-14 03:22:47.304914
10,18MSB,18MSB,2021-10-14 03:22:47.329143,2021-10-14 03:22:47.329143
11,14PRIM,14PRIM,2021-10-14 03:22:47.439897,2021-10-14 03:22:47.439897
12,16MSB,16MSB,2021-10-14 03:22:47.575152,2021-10-14 03:22:47.575152
13,13REGL,13REGL,2021-10-14 03:22:47.649466,2021-10-14 03:22:47.649466
14,12REGL,12REGL,2021-10-14 03:22:47.669503,2021-10-14 03:22:47.669503
15,16WASI,16WASI,2021-10-14 03:22:47.766611,2021-10-14 03:22:47.766611
16,11REGL,11REGL,2021-10-14 03:22:47.922502,2021-10-14 03:22:47.922502
17,14REGL,14REGL,2021-10-14 03:22:48.457312,2021-10-14 03:22:48.457312
18,17MSB,17MSB,2021-10-14 03:22:48.777785,2021-10-14 03:22:48.777785
19,12PRIM,12PRIM,2021-10-14 03:22:48.90364,2021-10-14 03:22:48.90364
20,15MSB6,15MSB6,2021-10-14 03:22:50.420942,2021-10-14 03:22:50.420942
21,17PALM,17PALM,2021-10-14 03:22:50.987945,2021-10-14 03:22:50.987945
22,11SPEL,11SPEL,2021-10-14 03:22:51.054195,2021-10-14 03:22:51.054195
23,20PALM,20PALM,2021-10-14 03:22:51.53247,2021-10-14 03:22:51.53247
24,19MSB,19MSB,2021-10-14 03:22:52.15875,2021-10-14 03:22:52.15875
25,15SPEL,15SPEL,2021-10-14 03:22:53.13771,2021-10-14 03:22:53.13771
26,16REAA,16REAA,2021-10-14 03:22:53.884584,2021-10-14 03:22:53.884584
27,15REGL,15REGL,2021-10-14 03:22:53.914779,2021-10-14 03:22:53.914779
28,15MSB5,15MSB5,2021-10-14 03:22:55.602577,2021-10-14 03:22:55.602577
29,15MSB3,15MSB3,2021-10-14 03:22:56.014567,2021-10-14 03:22:56.014567
30,18PALM,18PALM,2021-10-14 03:22:57.009612,2021-10-14 03:22:57.009612
31,15MSB1,15MSB1,2021-10-14 03:22:57.461967,2021-10-14 03:22:57.461967
32,15MSBG,15MSBG,2021-10-14 03:22:58.626304,2021-10-14 03:22:58.626304
33,18WASI,18WASI,2021-10-14 03:23:00.008979,2021-10-14 03:23:00.008979
34,19PALM,19PALM,2021-10-14 03:23:00.198291,2021-10-14 03:23:00.198291
35,16PALM,16PALM,2021-10-14 03:23:00.377094,2021-10-14 03:23:00.377094
36,15MSB7,15MSB7,2021-10-14 03:23:01.61257,2021-10-14 03:23:01.61257
37,16MOA4,16MOA4,2021-10-14 03:25:17.640227,2021-10-14 03:25:17.640227
38,19HOUS,19HOUS,2021-10-14 03:25:18.458131,2021-10-14 03:25:18.458131
39,17HOUS,17HOUS,2021-10-14 03:25:18.500899,2021-10-14 03:25:18.500899
